sciname,obis_occ
Meiacanthus tongaensis,14
Cirripectes randalli,15
Cirripectes auritus,19
Parablennius cornutus,164
Salarias fasciatus,431
Blenniella chrysospilos,178
Cirripectes fuscoguttatus,49
Praealticus triangulus,9
Blenniella leopardus,7
Blenniella paula,106
Salarias guttatus,69
Istiblennius flaviumbrinus,6
Istiblennius bellus,50
Exallias brevis,412
Ecsenius pictus,42
Enchelyurus brunneolus,5
Meiacanthus grammistes,181
Meiacanthus limbatus,2
Enchelyurus ater,47
Ecsenius sellifer,7
Meiacanthus mossambicus,61
Aspidontus tractus,77
Omobranchus obliquus,44
Ecsenius oculatus,3
Omobranchus germaini,81
Ecsenius monoculus,32
Mimoblennius atrocinctus,14
Entomacrodus marmoratus,11
Ecsenius shirleyae,9
Omox lupus,9
Cirripectes gilberti,15
Ecsenius bimaculatus,14
Meiacanthus geminatus,4
Praealticus oortii,2
Petroscirtes variabilis,69
Petroscirtes fallax,34
Ecsenius fijiensis,63
Ecsenius paroculus,18
Entomacrodus niuafoouensis,21
Ecsenius schroederi,17
Ecsenius prooculis,25
Meiacanthus reticulatus,2
Andamia heteroptera,7
Cirripectes stigmaticus,360
Entomacrodus striatus,294
Praealticus bilineatus,46
Blenniella bilitonensis,66
Parablennius tasmanianus,351
Petroscirtes breviceps,105
Praealticus caesius,56
Enchelyurus flavipes,2
Ecsenius lubbocki,46
Ecsenius pardus,20
Xiphasia matsubarai,22
Ecsenius bandanus,16
Atrosalarias fuscus,153
Cirripectes polyzona,297
Ecsenius lividanalis,15
Meiacanthus luteus,48
Salarias patzneri,9
Parablennius cyclops,7
Ecsenius stictus,41
Meiacanthus vicinus,NA
Entomacrodus thalassinus,137
Ecsenius stigmatura,13
Istiblennius muelleri,2
Cirripectes perustus,68
Cirripectes alboapicalis,32
Ecsenius bathi,13
Ecsenius gravieri,7
Cirrisalarias bunares,24
Praealticus striatus,56
Mimoblennius rusi,17
Stanulus seychellensis,73
Meiacanthus ditrema,43
Blenniella cyanostigma,120
Petroscirtes thepassii,9
Cirripectes chelomatus,87
Cirripectes jenningsi,7
Ecsenius aequalis,24
Petroscirtes xestus,44
Omobranchus elongatus,100
Stanulus talboti,5
Praealticus tanegasimae,58
Ecsenius namiyei,70
Istiblennius lineatus,233
Petroscirtes springeri,3
Entomacrodus sealei,39
Ecsenius randalli,3
Ecsenius lineatus,53
Ecsenius midas,69
Istiblennius unicolor,60
Ecsenius tricolor,5
Ecsenius fourmanoiri,35
Praealticus natalis,NA
Aspidontus taeniatus,167
Ecsenius melarchus,10
Cirripectes imitator,37
Salarias ramosus,1
Entomacrodus lemuria,7
Mimoblennius lineathorax,7
Salarias segmentatus,67
Laiphognathus multimaculatus,64
Plagiotremus tapeinosoma,865
Meiacanthus vittatus,3
Meiacanthus nigrolineatus,14
Meiacanthus urostigma,4
Omobranchus banditus,97
Entomacrodus epalzeocheilos,19
Ecsenius bicolor,601
Plagiotremus spilistius,6
Entomacrodus decussatus,115
Plagiotremus goslinei,762
Petroscirtes lupus,165
Meiacanthus crinitus,4
Cirripectes variolosus,1125
Andamia reyi,17
Laiphognathus longispinis,NA
Rhabdoblennius nigropunctatus,1
Plagiotremus phenax,36
Entomacrodus textilis,5
Meiacanthus fraseri,13
Blenniella gibbifrons,89
Cirripectes springeri,29
Atrosalarias hosokawai,21
Cirripectes quagga,133
Blenniella interrupta,97
Enchelyurus kraussii,102
Paralticus amboinensis,4
Andamia tetradactylus,8
Istiblennius rivulatus,18
Istiblennius meleagris,132
Atrosalarias holomelas,9
Meiacanthus smithi,45
Dodekablennos fraseri,16
Ecsenius aroni,NA
Ecsenius yaeyamaensis,176
Ecsenius opsifrontalis,38
Ecsenius nalolo,238
Meiacanthus abditus,3
Scartella emarginata,125
Parablennius laticlavius,138
Parablennius lodosus,13
Ecsenius frontalis,27
Rhabdoblennius snowi,50
Litobranchus fowleri,11
Plagiotremus rhinorhynchos,483
Istiblennius dussumieri,438
Cirripectes hutchinsi,4
Rhabdoblennius nitidus,14
Blenniella caudolineata,45
Salarias obscurus,10
Ecsenius axelrodi,33
Ecsenius alleni,5
Cirripectes vanderbilti,782
Ecsenius portenoyi,30
Parablennius intermedius,70
Nannosalarias nativitatis,92
Ecsenius oculus,28
Ecsenius tessera,38
Cirripectes castaneus,522
Salarias alboguttatus,32
Entomacrodus williamsi,5
Rhabdoblennius rhabdotrachelus,26
Entomacrodus caudofasciatus,153
Salarias luctuosus,3
Aspidontus dussumieri,95
Plagiotremus laudandus,99
Ecsenius mandibularis,70
Evynnis cardinalis,64
Canthigaster petersii,NA
