"","sciname","fbname","common"
"975","Palinustus mossamicus",NA,"Buffalo Blunthorn Lobster"
"976","Palinustus waguensis","Japanese blunthorn lobster","Japanese blunthorn lobster"
"977","Palinurellus wieneckii","Indo-Pacific furry lobster","Indo-Pacific furry lobster"
"978","Metanephrops boschmai","Bight lobster","Bight lobster"
"979","Projasus bahamondei","Chilean jagged lobster","Chilean jagged lobster"
"980","Arctides guineensis","small Spanish lobster","small Spanish lobster"
"981","Metanephrops sibogae","Siboga lobster","Siboga lobster"
"982","Linuparus trigonus","spear lobster","spear lobster"
"983","Petrarctus rugosus","hunchback locust lobster","hunchback locust lobster"
"984","Scyllarus pygmaeus","pygmy locust lobster","pygmy locust lobster"
"985","Parribacus scarlatinus","marbled mitten lobster","marbled mitten lobster"
"986","Nephropides caribaeus","mitten lobsterette","mitten lobsterette"
"987","Panulirus gracilis","green spiny lobster","green spiny lobster"
"988","Panulirus homarus","scalloped spiny lobster","scalloped spiny lobster"
"989","Arctides regalis","royal Spanish lobster","royal Spanish lobster"
"990","Metanephrops velutinus","velvet lobster","velvet lobster"
"991","Linuparus somniosus","African spear lobster","African spear lobster"
"992","Panulirus longipes","longlegged spiny lobster","longlegged spiny lobster"
"993","Neoglyphea inopinata","fenix lobster","fenix lobster"
"994","Linuparus sordidus","Oriental spear lobster","Oriental spear lobster"
"995","Parribacus antarcticus","sculptured mitten lobster","sculptured mitten lobster"
"996","Jasus lalandii","Cape rock lobster","Cape rock lobster"
"997","Panulirus cygnus","Australian spiny lobster","Australian spiny lobster"
"998","Scyllarides aequinoctialis","Spanish slipper lobster","Spanish slipper lobster"
"999","Metanephrops thomsoni","red-banded lobster","red-banded lobster"
"1000","Puerulus angulatus","banded whip lobster","banded whip lobster"
"1001","Ibacus ciliatus","Japanese fan lobster","Japanese fan lobster"
"1002","Nephropsis agassizii","prickly lobsterette","prickly lobsterette"
"1003","Eunephrops bairdii","red lobster","red lobster"
"1004","Nephropsis ensirostris","gladiator lobsterette","gladiator lobsterette"
"1005","Ibacus alticrenatus","Velvet fan lobster","Velvet fan lobster"
"1006","Scyllarides nodifer","ridged slipper lobster","ridged slipper lobster"
"1007","Metanephrops neptunus","Neptune lobster","Neptune lobster"
"1008","Nephropsis sulcata","grooved lobsterette","grooved lobsterette"
"1009","Eunephrops cadenasi","sculptured lobster","sculptured lobster"
"1010","Panulirus regius","royal spiny lobster","royal spiny lobster"
"1011","Thaumastocheles zaleucus","Atlantic pincer lobster","Atlantic pincer lobster"
"1012","Thaumastocheles japonicus","Pacific pincer lobster","Pacific pincer lobster"
"1013","Justitia longimanus",NA,"Gibbon Furrow Lobster"
"1014","Scomber japonicus","Chub mackerel","Chub mackerel"
"1015","Grammatorcynus bicarinatus","Shark mackerel","Shark mackerel"
"1016","Kajikia audax","Striped marlin","Striped marlin"
"1017","Katsuwonus pelamis","Skipjack tuna","Skipjack tuna"
"1018","Scomberomorus guttatus","Indo-Pacific king mackerel","Indo-Pacific king mackerel"
"1019","Istiompax indica","Black marlin","Black marlin"
"1020","Sarda orientalis","Striped bonito","Striped bonito"
"1021","Makaira nigricans","Blue marlin","Blue marlin"
"1022","Tetrapturus angustirostris","Shortbill spearfish","Shortbill spearfish"
"1023","Scomberomorus commerson","Narrow-barred Spanish mackerel","Narrow-barred Spanish mackerel"
"1024","Rastrelliger brachysoma","Short mackerel","Short mackerel"
"1025","Orcynopsis unicolor","Plain bonito","Plain bonito"
"1026","Euthynnus lineatus","Black skipjack","Black skipjack"
"1027","Cybiosarda elegans","Leaping bonito","Leaping bonito"
"1028","Kajikia albida","Atlantic white marlin","Atlantic white marlin"
"1029","Scomberomorus maculatus","Atlantic Spanish mackerel","Atlantic Spanish mackerel"
"1030","Rastrelliger faughni","Island mackerel","Island mackerel"
"1031","Scomberomorus sierra","Pacific sierra","Pacific sierra"
"1032","Scomberomorus tritor","West African Spanish mackerel","West African Spanish mackerel"
"1033","Scomberomorus regalis","Cero","Cero"
"1034","Rastrelliger kanagurta","Indian mackerel","Indian mackerel"
"1035","Scomber australasicus","Blue mackerel","Blue mackerel"
"1036","Scomberomorus munroi","Australian spotted mackerel","Australian spotted mackerel"
"1037","Acanthocybium solandri","Wahoo","Wahoo"
"1038","Sarda australis","Australian bonito","Australian bonito"
"1039","Tetrapturus georgii","Roundscale spearfish","Roundscale spearfish"
"1040","Tetrapturus belone","Mediterranean spearfish","Mediterranean spearfish"
"1041","Scomberomorus brasiliensis","Serra Spanish mackerel","Serra Spanish mackerel"
"1042","Euthynnus affinis","Kawakawa","Kawakawa"
"1043","Scomberomorus semifasciatus","Broad-barred king mackerel","Broad-barred king mackerel"
"1044","Istiophorus platypterus","Indo-Pacific sailfish","Indo-Pacific sailfish"
"1045","Scomberomorus cavalla","King mackerel","King mackerel"
"1046","Gasterochisma melampus","Butterfly kingfish","Butterfly kingfish"
"1047","Thunnus orientalis","Pacific bluefin tuna","Pacific bluefin tuna"
"1048","Gymnosarda unicolor","Dogtooth tuna","Dogtooth tuna"
"1049","Scomberomorus koreanus","Korean seerfish","Korean seerfish"
"1050","Auxis thazard","Frigate tuna","Frigate tuna"
"1051","Euthynnus alletteratus","Little tunny","Little tunny"
"1052","Scomberomorus sinensis","Chinese seerfish","Chinese seerfish"
"1053","Scomberomorus plurilineatus","Kanadi kingfish","Kanadi kingfish"
"1054","Allothunnus fallai","Slender tuna","Slender tuna"
"1055","Thunnus tonggol","Longtail tuna","Longtail tuna"
"1056","Sarda chiliensis","Eastern Pacific bonito","Eastern Pacific bonito"
"1057","Scomberomorus lineolatus","Streaked seerfish","Streaked seerfish"
"1058","Scomber scombrus","Atlantic mackerel","Atlantic mackerel"
"1059","Auxis rochei","Bullet tuna","Bullet tuna"
"1060","Scomberomorus niphonius","Japanese Spanish mackerel","Japanese Spanish mackerel"
"1061","Scomber colias","Atlantic chub mackerel","Atlantic chub mackerel"
"1062","Grammatorcynus bilineatus","Double-lined mackerel","Double-lined mackerel"
"1063","Aipysurus laevis","olive-brown seasnake","olive-brown seasnake"
"1064","Astrotia stokesii","Stokes' sea snake","Stokes' sea snake"
"1065","Hydrophis caerulescens","dwarf seasnake","dwarf seasnake"
"1066","Hydrophis spiralis","yellow sea snake","yellow sea snake"
"1067","Enhydrina schistosa","beaked sea snake","beaked sea snake"
"1068","Emydocephalus annulatus","turtle-headed seasnake","turtle-headed seasnake"
"1069","Hydrophis cyanocinctus","annulated sea snake","annulated sea snake"
"1070","Hydrophis major",NA,"Olive-headed sea snake"
"1071","Hydrophis czeblukovi","fine-spined seasnake","fine-spined seasnake"
"1072","Hydrophis elegans","elegant seasnake","elegant seasnake"
"1073","Hydrophis ornatus","ornate reef seasnake","ornate reef seasnake"
"1074","Pelamis platura","pelagic sea snake","pelagic sea snake"
"1075","Hydrophis coggeri","Cogger's sea snake","Cogger's sea snake"
"1076","Lapemis curtus","Hardwicke's spine-bellied seasnake","Hardwicke's spine-bellied seasnake"
"1077","Aipysurus duboisii","reef shallows seasnake","reef shallows seasnake"
"1078","Laticauda colubrina","yellow-lipped sea krait","yellow-lipped sea krait"
"1079","Acalyptophis peronii","spiny-headed seasnake","spiny-headed seasnake"
"1080","Aipysurus eydouxii","spine-tailed seasnake","spine-tailed seasnake"
"1081","Acrochordus granulatus","file snake","file snake"
"1082","Laticauda laticaudata","brown-lipped sea krait","brown-lipped sea krait"
"1083","Ctenochaetus strigosus","Spotted surgeonfish","Spotted surgeonfish"
"1084","Naso lituratus","Orangespine unicornfish","Orangespine unicornfish"
"1085","Naso tonganus","Bulbnose unicornfish","Bulbnose unicornfish"
"1086","Prionurus scalprum","Scalpel sawtail","Scalpel sawtail"
"1087","Acanthurus coeruleus","Blue tang surgeonfish","Blue tang surgeonfish"
"1088","Naso reticulatus","Reticulate unicornfish","Reticulate unicornfish"
"1089","Ctenochaetus binotatus","Twospot surgeonfish","Twospot surgeonfish"
"1090","Acanthurus maculiceps","White-freckled surgeonfish","White-freckled surgeonfish"
"1091","Ctenochaetus cyanocheilus","Short-tail bristle-tooth","Short-tail bristle-tooth"
"1092","Acanthurus fowleri","Fowler's surgeonfish","Fowler's surgeonfish"
"1093","Acanthurus achilles","Achilles tang","Achilles tang"
"1094","Acanthurus nubilus","Bluelined surgeon","Bluelined surgeon"
"1095","Naso fageni","Horseface unicornfish","Horseface unicornfish"
"1096","Naso mcdadei","Squarenose unicornfish","Squarenose unicornfish"
"1097","Ctenochaetus marginatus","Striped-fin surgeonfish","Striped-fin surgeonfish"
"1098","Acanthurus triostegus","Convict surgeonfish","Convict surgeonfish"
"1099","Acanthurus mata","Elongate surgeonfish","Elongate surgeonfish"
"1100","Naso caeruleacauda","Blue unicorn","Blue unicorn"
"1101","Acanthurus nigricans","Whitecheek surgeonfish","Whitecheek surgeonfish"
"1102","Naso unicornis","Bluespine unicornfish","Bluespine unicornfish"
"1103","Acanthurus blochii","Ringtail surgeonfish","Ringtail surgeonfish"
"1104","Paracanthurus hepatus","Palette surgeonfish","Palette surgeonfish"
"1105","Zebrasoma gemmatum","Spotted tang","Spotted tang"
"1106","Acanthurus auranticavus","Orange-socket surgeonfish","Orange-socket surgeonfish"
"1107","Naso minor","Slender unicorn","Slender unicorn"
"1108","Acanthurus reversus","null","null"
"1109","Acanthurus japonicus","Japan surgeonfish","Japan surgeonfish"
"1110","Naso lopezi","Elongate unicornfish","Elongate unicornfish"
"1111","Naso thynnoides","Oneknife unicornfish","Oneknife unicornfish"
"1112","Acanthurus dussumieri","Eyestripe surgeonfish","Eyestripe surgeonfish"
"1113","Acanthurus chirurgus","Doctorfish","Doctorfish"
"1114","Naso brachycentron","Humpback unicornfish","Humpback unicornfish"
"1115","Acanthurus polyzona","Black-barred surgeonfish","Black-barred surgeonfish"
"1116","Acanthurus bahianus","Ocean surgeon","Ocean surgeon"
"1117","Ctenochaetus tominiensis","Tomini surgeonfish","Tomini surgeonfish"
"1118","Acanthurus sohal","Sohal surgeonfish","Sohal surgeonfish"
"1119","Naso annulatus","Whitemargin unicornfish","Whitemargin unicornfish"
"1120","Acanthurus xanthopterus","Yellowfin surgeonfish","Yellowfin surgeonfish"
"1121","Naso brevirostris","Spotted unicornfish","Spotted unicornfish"
"1122","Acanthurus olivaceus","Orangespot surgeonfish","Orangespot surgeonfish"
"1123","Ctenochaetus truncatus","Indian gold-ring bristle-tooth","Indian gold-ring bristle-tooth"
"1124","Acanthurus lineatus","Lined surgeonfish","Lined surgeonfish"
"1125","Acanthurus leucocheilus","Palelipped surgeonfish","Palelipped surgeonfish"
"1126","Acanthurus guttatus","Whitespotted surgeonfish","Whitespotted surgeonfish"
"1127","Acanthurus tennentii","Doubleband surgeonfish","Doubleband surgeonfish"
"1128","Acanthurus tristis","Indian Ocean mimic surgeonfish","Indian Ocean mimic surgeonfish"
"1129","Acanthurus nigroris","Bluelined surgeonfish","Bluelined surgeonfish"
"1130","Acanthurus leucosternon","Powderblue surgeonfish","Powderblue surgeonfish"
"1131","Zebrasoma rostratum","Longnose surgeonfish","Longnose surgeonfish"
"1132","Naso hexacanthus","Sleek unicornfish","Sleek unicornfish"
"1133","Naso tuberosus","Humpnose unicornfish","Humpnose unicornfish"
"1134","Naso elegans","Elegant unicornfish","Elegant unicornfish"
"1135","Zebrasoma scopas","Twotone tang","Twotone tang"
"1136","Acanthurus grammoptilus","Finelined surgeonfish","Finelined surgeonfish"
"1137","Acanthurus albipectoralis","Whitefin surgeonfish","Whitefin surgeonfish"
"1138","Acanthurus thompsoni","Thompson's surgeonfish","Thompson's surgeonfish"
"1139","Zebrasoma xanthurum","Yellowtail tang","Yellowtail tang"
"1140","Zebrasoma veliferum",NA,"Sailfin tang"
"1141","Acanthurus leucopareius","Whitebar surgeonfish","Whitebar surgeonfish"
"1142","Ctenochaetus striatus","Striated surgeonfish","Striated surgeonfish"
"1143","Naso caesius","Gray unicornfish","Gray unicornfish"
"1144","Ctenochaetus hawaiiensis","Chevron tang","Chevron tang"
"1145","Zebrasoma flavescens","Yellow tang","Yellow tang"
"1146","Prionurus microlepidotus","Sixplate sawtail","Sixplate sawtail"
"1147","Acanthurus nigricauda","Epaulette surgeonfish","Epaulette surgeonfish"
"1148","Ctenochaetus flavicauda","null","null"
"1149","Acanthurus nigrofuscus","Brown surgeonfish","Brown surgeonfish"
"1150","Naso maculatus","null","null"
"1151","Prionurus biafraensis","Biafra doctorfish","Biafra doctorfish"
"1152","Acanthurus pyroferus","Chocolate surgeonfish","Chocolate surgeonfish"
"1153","Acanthurus monroviae","Monrovia doctorfish","Monrovia doctorfish"
"1154","Zebrasoma desjardinii","Indian sail-fin surgeonfish","Indian sail-fin surgeonfish"
"1155","Prionurus maculatus","Yellowspotted sawtail","Yellowspotted sawtail"
"1156","Roa australis","Triple-banded butterflyfish","Triple-banded butterflyfish"
"1157","Ecsenius dilemma","Twocoat coralblenny","Twocoat coralblenny"
"1158","Ecsenius kurti","Kurt's coralblenny","Kurt's coralblenny"
"1159","Istiblennius colei","Cole's rockskipper","Cole's rockskipper"
"1160","Holothuria hilla","Tiger Tail","Tiger Tail"
"1161","Holothuria difficilis","null","null"
"1162","Pearsonothuria graeffei","blackspotted sea cucumber","blackspotted sea cucumber"
"1163","Holothuria scabra","sand fish","sand fish"
"1164","Actinopyga miliaris","hairy blackfish","hairy blackfish"
"1165","Actinopyga lecanora","white-bottomed sea cucumber","white-bottomed sea cucumber"
"1166","Holothuria pardalis","null","null"
"1167","Parastichopus regalis","royale cucumber","royale cucumber"
"1168","Isostichopus macroparentheses","null","null"
"1169","Thelenota anax","amber fish","amber fish"
"1170","Holothuria nobilis","black teatfish","black teatfish"
"1171","Actinopyga mauritiana","surf redfish","surf redfish"
"1172","Bohadschia vitiensis","brown sandfish","brown sandfish"
"1173","Actinopyga agassizi","five-toothed sea cucumber","five-toothed sea cucumber"
"1174","Isostichopus fuscus","brown sea cucumber","brown sea cucumber"
"1175","Holothuria leucospilota","white threads fish","white threads fish"
"1176","Pseudostichopus mollis","null","null"
"1177","Bohadschia similis","brownspotted sandfish","brownspotted sandfish"
"1178","Holothuria edulis","pinkfish","pinkfish"
"1179","Actinopyga palauensis","Panning's blackfish","Panning's blackfish"
"1180","Bohadschia marmorata","chalky cucumber","chalky cucumber"
"1181","Holothuria fuscopunctata","elephant trunkfish","elephant trunkfish"
"1182","Holothuria atra","lollyfish","lollyfish"
"1183","Apostichopus japonicus","japanese sea cucumber","japanese sea cucumber"
"1184","Parastichopus californicus",NA,"Giant california sea cucumber"
"1185","Holothuria arenicola","sand sea cucumber","sand sea cucumber"
"1186","Holothuria rigida","rigid sea cucumber","rigid sea cucumber"
"1187","Holothuria tubulosa","tubular sea cucumber","tubular sea cucumber"
"1188","Stichopus chloronotus","greenfish","greenfish"
"1189","Thelenota ananas","prickly redfish","prickly redfish"
"1190","Stichopus horrens","Selenka's sea cucumber","Selenka's sea cucumber"
"1191","Holothuria mexicana","donkey dung sea cucumber","donkey dung sea cucumber"
"1192","Holothuria fuscocinerea","ashen sea cucumber","ashen sea cucumber"
"1193","Holothuria cinerascens","null","null"
"1194","Holothuria impatiens","impatient sea cucumber","impatient sea cucumber"
"1195","Bathyplotes moseleyi","spiky sausage sea cucumber","spiky sausage sea cucumber"
"1196","Actinopyga echinites","deep-water redfish","deep-water redfish"
"1197","Isostichopus badionotus","chocolate chip sea cucumber","chocolate chip sea cucumber"
"1198","Holothuria pervicax","stubborn sea cucumber","stubborn sea cucumber"
"1199","Actinopyga caerulea","blue sea cucumber","blue sea cucumber"
"1200","Holothuria inhabilis","null","null"
"1201","Bohadschia argus","leopard fish","leopard fish"
"1202","Elops lacerta","West African ladyfish","West African ladyfish"
"1203","Scartichthys viridis","null","null"
"1204","Scartichthys gigas","Giant blenny","Giant blenny"
"1205","Sphoeroides lobatus","Longnose puffer","Longnose puffer"
"1206","Ophioblennius steindachneri","Large-banded blenny","Large-banded blenny"
"1207","Prionurus laticlavius","Razor surgeonfish","Razor surgeonfish"
"1208","Semicossyphus darwini","Galápagos sheephead wrasse","Galápagos sheephead wrasse"
"1209","Canthigaster punctatissima","Spotted sharpnosed puffer","Spotted sharpnosed puffer"
"1210","Hypsypops rubicundus","Garibaldi damselfish","Garibaldi damselfish"
"1211","Halichoeres chierchiae","Wounded wrasse","Wounded wrasse"
"1212","Abudefduf troschelii","Panamic sergeant major","Panamic sergeant major"
"1213","Hypsoblennius brevipinnis","Barnaclebill blenny","Barnaclebill blenny"
"1214","Stegastes acapulcoensis","Acapulco major","Acapulco major"
"1215","Chromis limbaughi","Limbaugh's damselfish","Limbaugh's damselfish"
"1216","Abudefduf declivifrons","Mexican nightsergeant","Mexican nightsergeant"
"1217","Stegastes beebei","Southern whitetail major","Southern whitetail major"
"1218","Scarus compressus","Azure parrotfish","Azure parrotfish"
"1219","Microspathodon bairdii","Bumphead damselfish","Bumphead damselfish"
"1220","Abudefduf concolor","null","null"
"1221","Halichoeres aestuaricola","Mangrove wrasse","Mangrove wrasse"
"1222","Stegastes arcifrons","Island major","Island major"
"1223","Bodianus eclancheri","Harlequin wrasse","Harlequin wrasse"
"1224","Stegastes redemptus","Clarion major","Clarion major"
"1225","Stegastes rectifraenum","Cortez damselfish","Cortez damselfish"
"1226","Sphoeroides rosenblatti","null","null"
"1227","Sphoeroides lispus","Naked puffer","Naked puffer"
"1228","Hypsoblennius gentilis","Bay blenny","Bay blenny"
"1229","Bodianus diplotaenia","Mexican hogfish","Mexican hogfish"
"1230","Prionurus punctatus","Yellowtail surgeonfish","Yellowtail surgeonfish"
"1231","Sphoeroides annulatus","Bullseye puffer","Bullseye puffer"
"1232","Chromis atrilobata","Scissortail damselfish","Scissortail damselfish"
"1233","Scartichthys variolatus","null","null"
"1234","Halichoeres melanotis","Golden wrasse","Golden wrasse"
"1235","Stegastes flavilatus","Beaubrummel","Beaubrummel"
"1236","Xyrichtys mundiceps","Cape razorfish","Cape razorfish"
"1237","Halichoeres adustus","Black wrasse","Black wrasse"
"1238","Azurina hirundo","Swallow damsel","Swallow damsel"
"1239","Nexilosus latifrons","Coquito sergeant","Coquito sergeant"
"1240","Chromis intercrusma","Peruvian chromis","Peruvian chromis"
"1241","Nicholsina denticulata","Loosetooth parrotfish","Loosetooth parrotfish"
"1242","Halichoeres semicinctus","Rock wrasse","Rock wrasse"
"1243","Halichoeres dispilus","Chameleon wrasse","Chameleon wrasse"
"1244","Microspathodon dorsalis","Giant damselfish","Giant damselfish"
"1245","Scarus perrico","Bumphead parrotfish","Bumphead parrotfish"
"1246","Chromis alta","Oval damselfish","Oval damselfish"
"1247","Entomacrodus chiostictus","Rock blenny","Rock blenny"
"1248","Decodon melasma","Blackspot wrasse","Blackspot wrasse"
"1249","Sphoeroides angusticeps","Narrow-headed puffer","Narrow-headed puffer"
"1250","Stegastes leucorus","Whitetail major","Whitetail major"
"1251","Plagiotremus azaleus","Sabertooth blenny","Sabertooth blenny"
"1252","Thalassoma grammaticum","Sunset wrasse","Sunset wrasse"
"1253","Azurina eupalama","Galapagos damsel","Galapagos damsel"
"1254","Sphoeroides sechurae","Peruvian puffer","Peruvian puffer"
"1255","Halichoeres nicholsi","Spinster wrasse","Spinster wrasse"
"1256","Elops affinis","Machete","Machete"
"1257","Galearctus rapanus","null","null"
"1258","Galearctus umbilicatus","null","null"
"1259","Eduarctus lewinsohni","null","null"
"1260","Stereomastis panglao","null","null"
"1261","Eduarctus modestus","slipper lobster","slipper lobster"
"1262","Ibacus pubescens","null","null"
"1263","Stereomastis polita","null","null"
"1264","Enoplometopus gracilipes","reef lobster","reef lobster"
"1265","Stereomastis sculpta",NA,"Flatback lobster"
"1266","Petrarctus demani","null","null"
"1267","Pentacheles gibbus","null","null"
"1268","Polycheles enthrix","null","null"
"1269","Crenarctus crenatus","null","null"
"1270","Stereomastis surda","null","null"
"1271","Enoplometopus holthuisi","bullseye reef lobster","bullseye reef lobster"
"1272","Nupalirus vericeli","Polynesian furrow lobster","Polynesian furrow lobster"
"1273","Polycheles typhlops","null","null"
"1274","Thaumastocheles dochmiodon","null","null"
"1275","Acantharctus ornatus","null","null"
"1276","Polycheles amemiyai","null","null"
"1277","Bathyarctus rubens","null","null"
"1278","Stereomastis suhmi","deepsea blind lobster","deepsea blind lobster"
"1279","Pentacheles laevis","blind lobster","blind lobster"
"1280","Stereomastis helleri","null","null"
"1281","Chelarctus aureus","null","null"
"1282","Polycheles martini","null","null"
"1283","Enoplometopus crosnieri","null","null"
"1284","Enoplometopus occidentalis","red reef lobster","red reef lobster"
"1285","Pentacheles snyderi","null","null"
"1286","Galearctus timidus","null","null"
"1287","Stereomastis auriculata","null","null"
"1288","Nephropsis serrata","null","null"
"1289","Polycheles coccifer","null","null"
"1290","Polycheles tanneri","null","null"
"1291","Stereomastis galil","null","null"
"1292","Petrarctus holthuisi","null","null"
"1293","Stereomastis phosphorus","pink blind lobster","pink blind lobster"
"1294","Stereomastis aculeata","null","null"
"1295","Galearctus kitanoviriosus","Kitano locust lobster","Kitano locust lobster"
"1296","Galearctus aurora","null","null"
"1297","Bathyarctus faxoni","null","null"
"1298","Chelarctus cultrifer","null","null"
"1299","Willemoesia pacifica","null","null"
"1300","Polycheles baccatus","null","null"
"1301","Eduarctus reticulatus","null","null"
"1302","Biarctus pumilus","null","null"
"1303","Pentacheles obscurus","null","null"
"1304","Crenarctus bicuspidatus","slipper lobsters","slipper lobsters"
"1305","Eduarctus aesopius","null","null"
"1306","Parablennius gattorugine","Tompot blenny","Tompot blenny"
"1307","Acantholabrus palloni","Scale-rayed wrasse","Scale-rayed wrasse"
"1308","Bodianus dictynna","Redfin hogfish","Redfin hogfish"
"1309","Halichoeres pardaleocephalus","Lineblotch wrasse","Lineblotch wrasse"
"1310","Choerodon margaritiferus","Pearly tuskfish","Pearly tuskfish"
"1311","Coris nigrotaenia","Blackbar coris","Blackbar coris"
"1312","Hemigymnus fasciatus","Barred thicklip","Barred thicklip"
"1313","Leptojulis lambdastigma","null","null"
"1314","Bodianus opercularis","Blackspot hogfish","Blackspot hogfish"
"1315","Coris variegata","Dapple coris","Dapple coris"
"1316","Thalassoma lunare","Moon wrasse","Moon wrasse"
"1317","Cheilio inermis","Cigar wrasse","Cigar wrasse"
"1318","Cheilinus chlorourus","Floral wrasse","Floral wrasse"
"1319","Cirrhilabrus tonozukai","Tono's wrasse","Tono's wrasse"
"1320","Suezichthys caudavittatus","Spottail wrasse","Spottail wrasse"
"1321","Bodianus thoracotaeniatus","null","null"
"1322","Paracheilinus mccoskeri","McCosker's flasher","McCosker's flasher"
"1323","Coris pictoides","Blackstripe coris","Blackstripe coris"
"1324","Iniistius aneitensis","Yellowblotch razorfish","Yellowblotch razorfish"
"1325","Labroides dimidiatus","Bluestreak cleaner wrasse","Bluestreak cleaner wrasse"
"1326","Labrus mixtus","Cuckoo wrasse","Cuckoo wrasse"
"1327","Labrus bergylta","Ballan wrasse","Ballan wrasse"
"1328","Iniistius umbrilatus","Razor wrasse fish","Razor wrasse fish"
"1329","Choerodon vitta","Redstripe tuskfish","Redstripe tuskfish"
"1330","Halichoeres dimidiatus","null","null"
"1331","Paracheilinus filamentosus","Filamentous wrasse","Filamentous wrasse"
"1332","Halichoeres caudalis","Painted wrasse","Painted wrasse"
"1333","Hologymnosus longipes","Sidespot longface wrasse","Sidespot longface wrasse"
"1334","Wetmorella nigropinnata","Sharpnose wrasse","Sharpnose wrasse"
"1335","Ophthalmolepis lineolata","Maori wrasse","Maori wrasse"
"1336","Cirrhilabrus marjorie","Marjorie's Wrasse","Marjorie's Wrasse"
"1337","Iniistius pentadactylus","Fivefinger wrasse","Fivefinger wrasse"
"1338","Iniistius trivittatus","null","null"
"1339","Paracheilinus attenuatus","null","null"
"1340","Macropharyngodon kuiteri","Black leopard wrasse","Black leopard wrasse"
"1341","Cirrhilabrus earlei","Orange-striped wrasse","Orange-striped wrasse"
"1342","Macropharyngodon bipartitus","Rare wrasse","Rare wrasse"
"1343","Coris batuensis","Batu coris","Batu coris"
"1344","Thalassoma pavo","Ornate wrasse","Ornate wrasse"
"1345","Choerodon zamboangae","Purple eyebrowed tuskfish","Purple eyebrowed tuskfish"
"1346","Paracheilinus walton","Walton's flasherwrasse","Walton's flasherwrasse"
"1347","Thalassoma loxum","null","null"
"1348","Oxycheilinus orientalis","Oriental maori wrasse","Oriental maori wrasse"
"1349","Stethojulis bandanensis","Red shoulder wrasse","Red shoulder wrasse"
"1350","Conniella apterygia","Mutant wrasse","Mutant wrasse"
"1351","Notolabrus tetricus","Blue-throated wrasse","Blue-throated wrasse"
"1352","Cirrhilabrus bathyphilus","Deepwater wrasse","Deepwater wrasse"
"1353","Halichoeres leucoxanthus","Canarytop wrasse","Canarytop wrasse"
"1354","Choerodon cephalotes","Purple tuskfish","Purple tuskfish"
"1355","Pteragogus cryptus","Cryptic wrasse","Cryptic wrasse"
"1356","Halichoeres bleekeri","null","null"
"1357","Stethojulis marquesensis","null","null"
"1358","Coris gaimard","African coris","African coris"
"1359","Halichoeres prosopeion","Twotone wrasse","Twotone wrasse"
"1360","Cirrhilabrus laboutei","Laboute's wrasse","Laboute's wrasse"
"1361","Cirrhilabrus condei","Conde's wrasse","Conde's wrasse"
"1362","Novaculichthys taeniourus","Rockmover wrasse","Rockmover wrasse"
"1363","Halichoeres margaritaceus","Pink-belly wrasse","Pink-belly wrasse"
"1364","Halichoeres pictus","Rainbow wrasse","Rainbow wrasse"
"1365","Thalassoma cupido","null","null"
"1366","Cirrhilabrus jordani","Flame wrasse","Flame wrasse"
"1367","Tautogolabrus adspersus","Cunner","Cunner"
"1368","Coris dorsomacula","Pale-barred coris","Pale-barred coris"
"1369","Halichoeres argus","Argus wrasse","Argus wrasse"
"1370","Cirrhilabrus katherinae","Katherine's wrasse","Katherine's wrasse"
"1371","Anampses elegans","Elegant wrasse","Elegant wrasse"
"1372","Halichoeres scapularis","Zigzag wrasse","Zigzag wrasse"
"1373","Symphodus trutta",NA,"Emerald wrasse"
"1374","Doratonotus megalepis","Dwarf wrasse","Dwarf wrasse"
"1375","Cirrhilabrus brunneus","Dusky fairy-warsse","Dusky fairy-warsse"
"1376","Cirrhilabrus exquisitus","Exquisite wrasse","Exquisite wrasse"
"1377","Pseudojuloides mesostigma","Sidespot wrasse","Sidespot wrasse"
"1378","Leptojulis urostigma","Tailmark wrasse","Tailmark wrasse"
"1379","Halichoeres stigmaticus","U-spot wrasse","U-spot wrasse"
"1380","Oxycheilinus digramma","Cheeklined wrasse","Cheeklined wrasse"
"1381","Halichoeres cosmetus","Adorned wrasse","Adorned wrasse"
"1382","Xyrichtys koteamea",NA,"Red razorfish"
"1383","Choerodon gymnogenys","null","null"
"1384","Pseudocoris bleekeri","Philippines wrasse","Philippines wrasse"
"1385","Halichoeres vrolikii","Indian Ocean pinstriped wrasse","Indian Ocean pinstriped wrasse"
"1386","Halichoeres trimaculatus","Threespot wrasse","Threespot wrasse"
"1387","Symphodus mediterraneus","Axillary wrasse","Axillary wrasse"
"1388","Hemigymnus melapterus","Blackeye thicklip","Blackeye thicklip"
"1389","Pseudocheilinus hexataenia","Sixline wrasse","Sixline wrasse"
"1390","Halichoeres leucurus","Greyhead wrasse","Greyhead wrasse"
"1391","Tautoga onitis","Tautog","Tautog"
"1392","Pseudolabrus miles","Scarlet wrasse","Scarlet wrasse"
"1393","Halichoeres bivittatus","Slippery dick","Slippery dick"
"1394","Cirrhilabrus melanomarginatus","Blackfin fairy-warsse","Blackfin fairy-warsse"
"1395","Cirrhilabrus solorensis","Red-eye wrasse","Red-eye wrasse"
"1396","Suezichthys notatus","Northern rainbow wrasse","Northern rainbow wrasse"
"1397","Stethojulis strigiventer","Three-ribbon wrasse","Three-ribbon wrasse"
