am_sid,lim,sciname,reviewed
Chn-a683929c-256b-4e14-b3e3-082b41f024ce,e_lim,Euacasta dofleini,null
Chn-ad8809bb-42d3-4efb-9e18-86438763254f,e_lim,Manningia australiensis,null
Chn-aeb653ab-6477-483a-bf1e-211cc80a18b3,e_lim,Anchisquilla fasciata,null
Chn-af5aeff7-d489-44d6-829b-33a5aeefe39e,e_lim,Faughnia serenei,null
Chn-b0bf9541-4c48-46f9-9f39-7e472c527992,e_lim,Haptosquilla glyptocercus,null
Chn-b75cc929-1ac6-410b-888c-9ab8e709b6d0,e_lim,Scammarctus batei,null
Chn-c03cfb65-01dc-40d6-9859-1dacbb967008,e_lim,Striatobalanus amaryllis,null
Chn-c0b96bcd-a248-4a2d-ba80-d1c9d13b890b,e_lim,Lophosquilla costata,null
Chn-c52065c0-9805-4194-99b0-c065a99ff036,e_lim,Shinkaia crosnieri,null
Chn-d879fd7e-8358-430b-9b8f-974a10d1a38d,e_lim,Quollastria gonypetes,null
Chn-d99f6747-b64f-4916-8b24-df588e80e148,e_lim,Galacantha valdiviae,null
Chn-e255742b-b365-4757-9d21-e0f81f32bfbc,e_lim,Siamosquilla laevicaudata,null
Chn-ef0da0c6-5191-4986-8433-7c7da5e62cd3,e_lim,Harpiosquilla melanoura,null
Chn-f0468771-49d3-4d4b-a479-b094f979105b,e_lim,Lissoporcellana streptochiroides,null
Chn-f255ce49-bed7-4937-998b-cf930cedf3a6,e_lim,Galearctus kitanoviriosus,null
Chn-f3828601-b430-4ef9-bed4-072a275b42fa,e_lim,Paramunida proxima,null
Chn-f530af20-5532-4197-9324-3417559a8a5e,e_lim,Fallosquilla fallax,null
Chn-fb2dd6bd-a63d-4bf0-9ba2-c98db8474306,e_lim,Lamprometra palmata,null
Fis-10199,e_lim,Pseudanthias evansi,null
Fis-10312,e_lim,Parupeneus macronemus,null
Fis-10407,e_lim,Apogonichthyoides nigripinnis,null
Fis-10767,e_lim,Asterorhombus intermedius,null
Fis-10950,e_lim,Parascorpaena picta,null
Fis-11214,e_lim,Arnoglossus macrolophus,null
Fis-112285,e_lim,Campichthys tricarinatus,null
Fis-112286,e_lim,Choeroichthys suillus,null
Fis-112301,e_lim,Filicampus tigris,null
Fis-112522,e_lim,Vanacampus margaritifer,null
Fis-112893,e_lim,Kumococius rodericensis,null
Fis-112899,e_lim,Cirrhitichthys calliurus,null
Fis-113070,e_lim,Bathygobius meggitti,null
Fis-113181,e_lim,Pseudochromis andamanensis,null
Fis-113679,e_lim,Enneapterygius niger,null
Fis-113792,e_lim,Notolabrus tetricus,null
Fis-113918,e_lim,Ceratobregma acanthops,null
Fis-114007,e_lim,Enneapterygius gracilis,null
Fis-114110,e_lim,Enneapterygius larsonae,null
Fis-114131,e_lim,Gadella norops,null
Fis-114147,e_lim,Physiculus therosideros,null
Fis-114150,e_lim,Enneapterygius mirabilis,null
Fis-114152,e_lim,Coryphaenoides murrayi,null
Fis-114217,e_lim,Cheilodactylus fuscus,null
Fis-114556,e_lim,Bathygadus spongiceps,null
Fis-114584,e_lim,Physiculus peregrinus,null
Fis-114639,e_lim,Lepidoblennius haplodactylus,null
Fis-114739,e_lim,Bassozetus glutinosus,null
Fis-114767,e_lim,Paratriacanthodes herrei,null
Fis-115417,e_lim,Ecsenius fijiensis,null
Fis-115500,e_lim,Pterygotrigla pauli,null
Fis-115521,e_lim,Favonigobius lateralis,null
Fis-115614,e_lim,Coelorinchus kermadecus,null
Fis-115746,e_lim,Champsodon nudivittis,null
Fis-118509,e_lim,Favonigobius gymnauchen,null
